"Devabhaktuni, Vijaya"	338957
"Dew, Steven"	451848
"DiPaola, Steve"	338432
"Diamond, James"	361819
"Dick, Scott"	366094
"Dickinson, Sven"	454631
"Ding, Chen(Cherie)"	363873
"Dobre, Octavia"	397683
"Dodds, David"	338871
"Doedel, Eusebius"	363357
"Domaratzki, Michael"	396725
"Dong, Min"	435088
"Dong, Xiaodai"	366208
"Doucette, John"	338967
"Dounavis, Anestis"	427663
"Drew, Mark"	362519
"Drummond, Christopher"	361472
"Dssouli, Rachida"	337814
"Du, Weichang"	365212
"Dubois, Maxime"	457280
"Dubé, Danny"	456626
"Dubé, Danny"	427326
"Dubé, Danny"	365049
"Duchesne, Simon"	435075
"Dueck, Gerhard"	421260
"Dugas, Charles"	364921
"Dumitrescu, Sorina"	364487
"Dumitrescu, Sorina"	338958
"Duntsch, Ivo"	426252
"Dussault, JeanPierre"	420068
"Dutchyn, Christopher"	361412
"Dymond, Patrick"	451692
"Dziong, Zbigniew"	427388
"ELDarieby, Mohamed"	427471
"ELDarieby, Mohamed"	365390
"Eager, Derek"	337795
"Eagleson, Roy"	423110
"Easterbrook, Stephen(Steve)"	425225
"Eavis, Todd"	396749
"Eck, Douglas"	456825
"Eck, Douglas"	363335
"Eckford, Andrew"	362453
"ElGamal, Mourad"	338904
"ElHawary, Mohamed"	419438
"ElKhatib, Khalil"	366341
"ElMarakby, Randa"	364914
"ElMasry, Ezz"	338863
"ElSaddik, Abdulmotaleb"	403747
"ElSaddik, Abdulmotaleb"	337855
"ElTanany, Mohamed"	338879
"Elbiaze, Halima"	396050
"Elio, Renée"	365614
"Ellen, Faith"	450433
"Elliott, Robert"	420505
"Ellis, Randy"	362412
"Elmasry, Mohamed"	450462
"EnNouaary, Abdeslam"	338939
"Englehart, Kevin"	454208
"Enright, Wayne"	338358
"EnrightJerger, Natalie"	435095
"Eramian, Mark"	365480
"Ergun, AyseFunda"	427529
"Esfandiari, Babak"	337839
"Ester, Martin"	337871
"Evoy, Stéphane"	457433
"Falconer, David"	365498
"Far, Behrouz"	426041
"Far, Behrouz"	337857
"Farmer, William"	454674
"Farzad, Babak"	402827
"Fathallah, Habib"	365991
"Fayek, Dalia"	394987
"Feeley, Michael"	337823
"Fels, Sidney"	366454
"Fels, Sidney"	337835
"Felty, Amy"	425279
"Fernandez, JoseManuel"	395967
"Fernando, Xavier"	366610
"Ferrie, Frank"	338366
"Fevens, Thomas"	338416
"Fiala, Mark"	431933
"Fiech, Adrian"	337819
"Finlay, Warren"	361835
"Fischmeister, Sebastian"	403218
"Fiume, Eugene"	422043
"Fleet, David"	451256
"Fleming, Michael"	366623
"Flocchini, Paola"	338391
"Fofana, Issouf"	457282
"Fong, Philip"	364288
